borrower_id,business_name,gstin,sector,cluster,turnover_band,language,base_monthly_turnover,gst_filed_on_time_pct,gst_avg_declared_turnover,gst_max_declared_turnover,gst_min_declared_turnover,gst_avg_delay_days,upi_avg_monthly_inflow,upi_inflow_trend_pct,upi_avg_txn_count,eway_avg_dispatch_count,eway_dispatch_momentum_pct,eway_avg_dispatch_value,aa_avg_monthly_credit,aa_avg_monthly_debit,aa_avg_closing_balance,aa_net_monthly_flow,aa_bounce_count_6m,bureau_has_file,bureau_score,cash_flow_score,risk_band,sanctioned_limit,interest_rate_pct,processing_fee_pct,apr_pct
38,Reddy Cloth House #38,07ABCDE1038F1Z2,Micro-Manufacturing,Gujarat - Morbi,Rs 40L-1Cr,Marwari,415361,91.7,410430,508252,339659,1.1,462196,33.9,865,173.8,-38.2,296857,297619,337180,143586,-39561,1,False,,71.7,B,831000.0,18.0,1.5,19.5
39,Verma Hardware Store #39,07ABCDE1039F1Z3,Micro-Manufacturing,Gujarat - Morbi,< Rs 40L,English,3459627,100.0,3561935,4267123,2658317,0.0,3144223,-32.9,662,162.3,-53.0,2298562,2557771,1881796,1095311,675975,0,False,,69.2,B,6919000.0,18.0,1.5,19.5
40,Jain Plastics #40,07ABCDE1040F1Z4,Micro-Manufacturing,UP - Moradabad,Rs 40L-1Cr,Gujarati,3255838,91.7,3147744,4002178,2489401,0.3,3189083,39.3,934,166.8,42.2,2184369,2504441,2340952,850469,163489,2,True,,79.8,B,6512000.0,18.0,1.5,19.5
41,Yadav Textiles #41,07ABCDE1041F1Z5,Micro-Manufacturing,Gujarat - Morbi,Rs 1-3Cr,English,2041635,100.0,2024000,2502883,1564601,0.0,2102590,-27.0,760,115.2,-17.9,1512350,1827355,1653949,731547,173406,0,False,702,69.2,B,4083000.0,18.0,1.5,19.5
42,Verma Spice Traders #42,07ABCDE1042F1Z6,Trading,UP - Moradabad,Rs 40L-1Cr,Marwari,1507501,100.0,1533564,1868547,1175312,0.0,1480948,63.9,601,237.8,-34.9,1086787,1252994,1137807,370244,115187,0,True,,81.6,A,4523000.0,14.0,1.0,15.0
43,Verma Kirana Wholesale #43,07ABCDE1043F1Z7,Trading,Gujarat - Morbi,Rs 3-5Cr,Gujarati,2064775,100.0,1876118,2481653,1549279,0.0,1932481,-32.0,743,92.3,43.8,1336719,1835528,1615967,300243,219561,0,True,672,66.5,B,4130000.0,18.0,1.5,19.5
44,Shah Electricals #44,07ABCDE1044F1Z8,Micro-Manufacturing,Gujarat - Morbi,< Rs 40L,Gujarati,1950986,91.7,1846442,2317602,1489406,1.5,1849069,0.4,568,144.0,125.0,1469851,1590174,1109537,244027,480637,0,True,689,73.4,B,3902000.0,18.0,1.5,19.5
45,Mehta Electricals #45,07ABCDE1045F1Z0,Trading,Rajasthan - Bhilwara,Rs 1-3Cr,Gujarati,3080459,91.7,3252800,3778207,2494313,1.7,2858627,69.4,746,154.3,25.4,1928588,2982163,1788306,1195534,1193857,0,True,757,88.9,A,9241000.0,14.0,1.0,15.0
46,Verma Packaging Co #46,07ABCDE1046F1Z1,Trading,Gujarat - Morbi,Rs 3-5Cr,Hindi,476682,91.7,474101,591422,359410,0.2,512727,36.4,410,151.8,-61.8,343440,330144,419707,106737,-89563,2,False,798,59.4,C,477000.0,24.0,2.0,26.0
47,Desai Fertilizer Depot #47,07ABCDE1047F1Z2,Trading,UP - Moradabad,< Rs 40L,English,2632590,75.0,2558094,3243638,2117882,2.3,2758728,-14.9,701,133.2,-40.3,1794697,1644493,2241471,438817,-596978,0,False,671,56.1,C,2633000.0,24.0,2.0,26.0
48,Mehta Fertilizer Depot #48,07ABCDE1048F1Z3,Trading,UP - Moradabad,> Rs 5Cr,Marwari,2859465,91.7,2929178,3443230,2216997,1.2,2850139,31.2,728,168.7,-16.8,1995062,2849778,2110984,943774,738794,3,True,,73.6,B,5719000.0,18.0,1.5,19.5
49,Desai Food Processing #49,07ABCDE1049F1Z4,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 1-3Cr,English,1638158,91.7,1611890,2005407,1229178,1.7,1618736,41.9,588,178.7,365.5,1220783,1097043,1533208,504664,-436165,2,True,,70.7,B,3276000.0,18.0,1.5,19.5
50,Pillai Plastics #50,07ABCDE1050F1Z5,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,Marwari,895362,83.3,973408,1116643,686018,1.7,974148,-12.3,679,125.0,-72.2,589793,598139,598957,286153,-818,0,True,,62.7,C,895000.0,24.0,2.0,26.0
51,Mehta Plastics #51,07ABCDE1051F1Z6,Micro-Manufacturing,UP - Moradabad,Rs 3-5Cr,Hindi,808941,75.0,793639,1000821,628367,2.7,697783,-0.4,882,147.7,-13.3,605879,757426,702389,182488,55037,0,True,,68.9,B,1618000.0,18.0,1.5,19.5
52,Agarwal Fertilizer Depot #52,07ABCDE1052F1Z7,Micro-Manufacturing,UP - Moradabad,Rs 1-3Cr,Gujarati,2255966,91.7,2283593,2816877,1767562,0.2,2293303,45.0,573,201.3,-3.0,1600363,1911475,1819133,497476,92342,0,True,662,76.7,B,4512000.0,18.0,1.5,19.5
53,Desai Steel Traders #53,07ABCDE1053F1Z8,Trading,Gujarat - Morbi,Rs 40L-1Cr,English,1454215,91.7,1408805,1721200,1188373,0.7,1470938,-29.6,557,202.2,-28.3,975225,1359780,896373,507900,463407,0,False,,69.7,B,2908000.0,18.0,1.5,19.5
54,Mehta Metal Works #54,07ABCDE1054F1Z0,Micro-Manufacturing,Gujarat - Morbi,Rs 1-3Cr,Gujarati,1278618,91.7,1326724,1511729,1043553,1.0,1386985,5.5,700,167.0,30.8,1008898,974101,1063208,351501,-89107,3,True,,65.6,B,2557000.0,18.0,1.5,19.5
55,Sharma Textiles #55,07ABCDE1055F1Z1,Trading,Gujarat - Morbi,Rs 1-3Cr,Hindi,862975,75.0,906592,1055816,725389,1.2,751436,-21.4,758,97.8,64.5,551207,781361,465677,245381,315684,0,False,748,73.1,B,1726000.0,18.0,1.5,19.5
56,Pillai Kirana Wholesale #56,07ABCDE1056F1Z2,Micro-Manufacturing,UP - Moradabad,> Rs 5Cr,Hindi,1501459,83.3,1510898,1837849,1139544,2.1,1340332,-1.8,437,134.8,-49.0,985768,992841,1220440,434061,-227599,0,True,719,56.2,C,1501000.0,24.0,2.0,26.0
57,Rathi Plastics #57,07ABCDE1057F1Z3,Micro-Manufacturing,Gujarat - Morbi,Rs 40L-1Cr,Hindi,1335758,75.0,1304633,1609826,1010333,2.3,1266421,-1.9,573,118.2,129.0,996163,851118,1157746,206856,-306628,0,True,,61.5,C,1336000.0,24.0,2.0,26.0
58,Desai Spice Traders #58,07ABCDE1058F1Z4,Trading,Rajasthan - Bhilwara,Rs 3-5Cr,Gujarati,705793,91.7,707584,842573,533706,0.5,725839,-30.4,609,158.2,630.8,511299,437690,423629,206793,14061,0,False,,69.9,B,1412000.0,18.0,1.5,19.5
59,Desai Packaging Co #59,07ABCDE1059F1Z5,Trading,Rajasthan - Bhilwara,< Rs 40L,Hindi,647892,100.0,670047,803603,491675,0.0,652815,63.2,757,142.2,-17.4,445139,400786,508568,195431,-107782,0,True,,76.6,B,1296000.0,18.0,1.5,19.5
60,Reddy Fertilizer Depot #60,07ABCDE1060F1Z6,Trading,UP - Moradabad,Rs 1-3Cr,English,2470399,100.0,2647655,3062678,2011376,0.0,2759969,12.2,638,237.3,-14.7,1825394,1998780,1263294,354744,735486,0,False,691,78.4,B,4941000.0,18.0,1.5,19.5
61,Desai Metal Works #61,07ABCDE1061F1Z7,Micro-Manufacturing,UP - Moradabad,Rs 1-3Cr,English,3310802,83.3,3414442,4098479,2819292,1.8,3384089,-2.8,554,164.2,-64.8,1971737,3216282,2544669,1099511,671613,0,True,,69.0,B,6622000.0,18.0,1.5,19.5
62,Singh Hardware Store #62,07ABCDE1062F1Z8,Micro-Manufacturing,Gujarat - Morbi,Rs 1-3Cr,Hindi,921202,100.0,913092,1128614,709269,0.0,833513,-5.5,667,161.2,28.6,652572,628473,804151,334940,-175678,1,False,668,66.4,B,1842000.0,18.0,1.5,19.5
63,Verma Food Processing #63,07ABCDE1063F1Z0,Trading,Gujarat - Morbi,Rs 3-5Cr,Hindi,517089,83.3,482864,627407,399584,2.3,542276,-26.4,646,103.2,657.7,337936,497569,456670,73807,40899,0,True,,64.2,C,517000.0,24.0,2.0,26.0
64,Mehta Light Engineering #64,07ABCDE1064F1Z1,Trading,Rajasthan - Bhilwara,> Rs 5Cr,Hindi,1369085,83.3,1398444,1678183,1161954,1.2,1394708,31.6,638,128.8,-56.4,1073508,1123522,1019367,547111,104155,0,True,,73.3,B,2738000.0,18.0,1.5,19.5
65,Chaudhary Steel Traders #65,07ABCDE1065F1Z2,Trading,UP - Moradabad,Rs 40L-1Cr,Gujarati,1814237,83.3,1806748,2129897,1523183,1.7,1951292,-24.6,646,168.0,-5.3,1378516,1438406,1400400,454559,38006,0,False,,66.5,B,3628000.0,18.0,1.5,19.5
66,Kapoor Auto Parts #66,07ABCDE1066F1Z3,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,Hindi,2675056,91.7,2656396,3240090,2157885,0.7,2892237,-6.7,742,175.7,-1.1,1771888,2489422,2066427,409889,422995,2,True,786,68.8,B,5350000.0,18.0,1.5,19.5
67,Jain Auto Parts #67,07ABCDE1067F1Z4,Trading,Gujarat - Morbi,Rs 3-5Cr,Gujarati,3400042,100.0,3537482,4145367,2559329,0.0,3062178,21.7,693,228.7,-14.4,2363960,3092942,2309167,480835,783775,2,False,,74.2,B,6800000.0,18.0,1.5,19.5
68,Rathi Hardware Store #68,07ABCDE1068F1Z5,Micro-Manufacturing,UP - Moradabad,Rs 3-5Cr,Hindi,2459284,83.3,2316059,2856772,1857632,0.9,2604835,2.1,542,182.2,2.5,1835625,2025578,1874760,502290,150818,1,False,766,66.9,B,4919000.0,18.0,1.5,19.5
69,Patel Plastics #69,07ABCDE1069F1Z6,Trading,Gujarat - Morbi,< Rs 40L,Marwari,2493067,91.7,2659003,3062370,1960031,0.3,2331742,-21.3,573,155.5,-45.5,1744744,1702045,1474013,436058,228032,0,False,,65.1,B,4986000.0,18.0,1.5,19.5
70,Sharma Food Processing #70,07ABCDE1070F1Z7,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 40L-1Cr,Gujarati,1706911,91.7,1808732,2121145,1290271,1.2,1654217,-12.3,887,179.8,-33.2,1199950,1403313,1511194,271089,-107881,1,True,,62.7,C,1707000.0,24.0,2.0,26.0
71,Iyer Timber Traders #71,07ABCDE1071F1Z8,Trading,UP - Moradabad,< Rs 40L,English,3443925,83.3,3554484,4187545,2617099,1.1,3943697,10.6,921,175.2,-33.5,2421286,2611122,3097677,1151277,-486555,2,True,,62.9,C,3444000.0,24.0,2.0,26.0
72,Sharma Plastics #72,07ABCDE1072F1Z0,Micro-Manufacturing,Rajasthan - Bhilwara,< Rs 40L,Marwari,3202498,83.3,2921544,3593003,2536876,2.1,3781661,-13.3,775,224.2,-4.5,2174956,2310375,1601382,1103625,708993,1,False,,72.5,B,6405000.0,18.0,1.5,19.5
73,Rathi Agri Traders #73,07ABCDE1073F1Z1,Micro-Manufacturing,UP - Moradabad,Rs 40L-1Cr,Gujarati,3496906,100.0,3520717,4114952,2635299,0.0,3193946,-7.1,615,174.0,67.3,2447434,2746727,2993845,696145,-247118,1,True,,69.8,B,6994000.0,18.0,1.5,19.5
74,Yadav Hardware Store #74,07ABCDE1074F1Z2,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 40L-1Cr,Gujarati,1750451,66.7,1861270,2089618,1503452,4.5,1714225,24.4,560,127.3,-53.1,1261070,1604439,974340,297230,630099,3,True,762,58.8,C,1750000.0,24.0,2.0,26.0
75,Yadav Plastics #75,07ABCDE1075F1Z3,Trading,Rajasthan - Bhilwara,< Rs 40L,Gujarati,315626,91.7,294751,381035,239673,1.4,309610,-32.3,747,114.3,409.3,213288,255760,257421,55796,-1661,0,True,,66.9,B,631000.0,18.0,1.5,19.5
76,Singh Light Engineering #76,07ABCDE1076F1Z4,Trading,Rajasthan - Bhilwara,Rs 40L-1Cr,English,2490505,83.3,2578058,3064051,1940477,1.2,2537047,14.6,732,215.2,-19.3,1845886,1944988,2320953,249196,-375965,0,False,,66.7,B,4981000.0,18.0,1.5,19.5
77,Iyer Packaging Co #77,07ABCDE1077F1Z5,Trading,UP - Moradabad,Rs 3-5Cr,Gujarati,1470805,91.7,1457825,1784029,1119062,1.1,1441426,-23.7,696,163.0,23.5,1056715,1200135,834403,368760,365732,0,False,750,73.8,B,2942000.0,18.0,1.5,19.5
78,Yadav Metal Works #78,07ABCDE1078F1Z6,Trading,UP - Moradabad,> Rs 5Cr,Gujarati,3448267,100.0,3078186,3920378,2671219,0.0,3651158,12.6,753,99.5,123.3,2299778,3200176,1745443,1062544,1454733,0,False,,83.6,A,10345000.0,14.0,1.0,15.0
79,Singh Electricals #79,07ABCDE1079F1Z7,Micro-Manufacturing,Gujarat - Morbi,Rs 40L-1Cr,Hindi,2451834,83.3,2320688,2902248,1861418,1.3,2682349,-43.7,661,165.2,-72.8,1553082,2332848,2208320,844552,124528,0,True,,59.7,C,2452000.0,24.0,2.0,26.0
80,Malhotra Food Processing #80,07ABCDE1080F1Z8,Micro-Manufacturing,Rajasthan - Bhilwara,Rs 3-5Cr,English,3211379,100.0,3176472,4007296,2631045,0.0,3448191,2.1,702,155.0,-43.7,2083650,2223446,1643384,397705,580062,1,False,770,70.1,B,6423000.0,18.0,1.5,19.5
81,Kapoor Auto Parts #81,07ABCDE1081F1Z0,Trading,Gujarat - Morbi,> Rs 5Cr,English,836969,91.7,847519,1015006,701831,0.1,920593,18.9,564,180.8,8.2,565426,809862,678345,310601,131517,0,True,,78.9,B,1674000.0,18.0,1.5,19.5
82,Shah Fertilizer Depot #82,07ABCDE1082F1Z1,Trading,UP - Moradabad,Rs 40L-1Cr,English,1798641,75.0,1859129,2169388,1460086,2.8,1697729,-20.3,587,199.3,237.0,1236868,1502845,1284356,401178,218489,0,True,,70.9,B,3597000.0,18.0,1.5,19.5
83,Verma Hardware Store #83,07ABCDE1083F1Z2,Micro-Manufacturing,Gujarat - Morbi,< Rs 40L,English,380954,91.7,354569,412763,295054,0.2,387870,3.6,635,230.2,-5.5,288122,324855,274906,58656,49949,0,True,650,71.1,B,762000.0,18.0,1.5,19.5
84,Gupta Fertilizer Depot #84,07ABCDE1084F1Z3,Micro-Manufacturing,UP - Moradabad,Rs 3-5Cr,English,2730788,83.3,2769351,3412101,2140713,1.0,3048607,5.1,792,171.2,-27.8,1753273,2558645,2067047,592225,491598,0,True,730,73.0,B,5462000.0,18.0,1.5,19.5
85,Reddy Cloth House #85,07ABCDE1085F1Z4,Trading,UP - Moradabad,Rs 1-3Cr,Gujarati,1708534,83.3,1656403,2054474,1365333,2.4,1514385,-36.8,463,183.5,25.8,1066296,1680034,1284529,223326,395505,0,False,,63.9,C,1709000.0,24.0,2.0,26.0
86,Nair Cloth House #86,07ABCDE1086F1Z5,Trading,Gujarat - Morbi,Rs 40L-1Cr,Marwari,2417344,75.0,2383719,2890268,1930567,3.7,2405858,-1.1,682,144.8,322.2,1718922,2220821,1563154,712718,657667,1,False,,72.9,B,4835000.0,18.0,1.5,19.5
87,Shah Grains #87,07ABCDE1087F1Z6,Trading,Rajasthan - Bhilwara,< Rs 40L,English,1759842,83.3,1875545,2182384,1378009,2.0,1799047,-14.1,521,156.5,-79.3,1319115,1415211,1551189,626066,-135978,0,True,650,56.5,C,1760000.0,24.0,2.0,26.0
88,Pillai Agri Traders #88,07ABCDE1088F1Z7,Trading,Rajasthan - Bhilwara,< Rs 40L,Gujarati,1960746,91.7,1934017,2376896,1540897,1.3,1994986,-15.3,764,169.3,-78.0,1405341,1749999,1848219,774691,-98220,1,False,,62.6,C,1961000.0,24.0,2.0,26.0
